trip_id,origin,destination,route,distance_km,popularity_tier,bus_type,capacity,base_price_inr,departure_date,departure_weekday,booking_open_date,booking_window_days,is_holiday_period,weekday_multiplier,price_ratio,final_seats_booked,final_occupancy_pct
1,Mumbai,Goa,Mumbai -> Goa,590,2,AC Sleeper,32,1480.0,2025-12-25,Thursday,2025-12-09,16,True,0.95,1.091,18,56.25
2,Delhi,Agra,Delhi -> Agra,230,2,AC Seater,40,430.0,2026-04-03,Friday,2026-02-24,38,False,1.15,1.1,31,77.5
3,Delhi,Agra,Delhi -> Agra,230,2,AC Sleeper,31,520.0,2025-09-12,Friday,2025-08-13,30,False,1.15,0.983,28,90.32
4,Bangalore,Goa,Bangalore -> Goa,560,3,Non-AC Seater,56,610.0,2025-12-13,Saturday,2025-11-03,40,False,1.25,1.037,33,58.93
5,Hyderabad,Vijayawada,Hyderabad -> Vijayawada,275,2,Non-AC Sleeper,33,400.0,2025-10-15,Wednesday,2025-09-03,42,False,0.82,1.003,17,51.52
6,Mumbai,Nashik,Mumbai -> Nashik,170,2,Volvo AC Semi-Sleeper,42,360.0,2025-09-25,Thursday,2025-08-18,38,False,0.95,1.033,20,47.62
7,Delhi,Agra,Delhi -> Agra,230,2,AC Seater,40,430.0,2026-06-20,Saturday,2026-05-16,35,False,1.25,1.1,34,85.0
8,Jaipur,Udaipur,Jaipur -> Udaipur,400,3,AC Sleeper,29,910.0,2026-01-13,Tuesday,2025-12-29,15,True,0.8,0.989,10,34.48
9,Hyderabad,Vijayawada,Hyderabad -> Vijayawada,275,2,Non-AC Seater,54,310.0,2026-03-16,Monday,2026-02-19,25,False,0.85,1.074,24,44.44
10,Kochi,Bangalore,Kochi -> Bangalore,550,3,Non-AC Sleeper,32,780.0,2025-08-26,Tuesday,2025-07-28,29,True,0.8,0.978,13,40.62
11,Jaipur,Udaipur,Jaipur -> Udaipur,400,3,Non-AC Seater,52,420.0,2025-09-13,Saturday,2025-08-20,24,False,1.25,1.0,30,57.69
12,Pune,Kolhapur,Pune -> Kolhapur,230,2,Non-AC Sleeper,34,330.0,2025-09-23,Tuesday,2025-08-14,40,False,0.8,0.99,17,50.0
13,Delhi,Jaipur,Delhi -> Jaipur,280,1,AC Sleeper,28,700.0,2025-11-13,Thursday,2025-10-17,27,False,0.95,1.087,24,85.71
14,Ahmedabad,Mumbai,Ahmedabad -> Mumbai,525,2,Volvo AC Semi-Sleeper,39,1020.0,2025-10-19,Sunday,2025-09-14,35,True,1.1,0.948,36,92.31
15,Delhi,Jaipur,Delhi -> Jaipur,280,1,Non-AC Seater,55,250.0,2025-10-06,Monday,2025-08-28,39,False,0.85,0.85,38,69.09
16,Jaipur,Udaipur,Jaipur -> Udaipur,400,3,AC Sleeper,32,970.0,2025-11-01,Saturday,2025-09-24,38,True,1.25,1.054,25,78.12
17,Hyderabad,Vijayawada,Hyderabad -> Vijayawada,275,2,Non-AC Sleeper,33,370.0,2026-02-06,Friday,2026-01-16,21,False,1.15,0.928,22,66.67
18,Mumbai,Goa,Mumbai -> Goa,590,2,Non-AC Sleeper,34,850.0,2026-05-12,Tuesday,2026-04-10,32,False,0.8,0.994,19,55.88
19,Mumbai,Nashik,Mumbai -> Nashik,170,2,AC Sleeper,32,400.0,2026-02-28,Saturday,2026-02-12,16,False,1.25,1.023,23,71.88
20,Hyderabad,Vijayawada,Hyderabad -> Vijayawada,275,2,AC Sleeper,30,560.0,2025-11-24,Monday,2025-10-28,27,False,0.85,0.885,17,56.67
21,Kochi,Bangalore,Kochi -> Bangalore,550,3,AC Seater,41,1010.0,2025-12-15,Monday,2025-11-30,15,False,0.85,1.08,18,43.9
22,Pune,Kolhapur,Pune -> Kolhapur,230,2,Volvo AC Semi-Sleeper,38,450.0,2026-06-02,Tuesday,2026-05-10,23,False,0.8,0.954,21,55.26
23,Bangalore,Mysore,Bangalore -> Mysore,145,1,AC Sleeper,28,360.0,2026-02-02,Monday,2025-12-19,45,False,0.85,1.079,21,75.0
24,Delhi,Chandigarh,Delhi -> Chandigarh,250,2,Non-AC Sleeper,32,390.0,2025-11-15,Saturday,2025-10-27,19,False,1.25,1.076,21,65.62
25,Bangalore,Coimbatore,Bangalore -> Coimbatore,365,2,Non-AC Seater,48,410.0,2025-08-30,Saturday,2025-07-25,36,False,1.25,1.07,41,85.42
26,Chennai,Coimbatore,Chennai -> Coimbatore,500,2,AC Sleeper,29,1150.0,2026-06-09,Tuesday,2026-05-22,18,False,0.8,1.0,14,48.28
27,Chennai,Madurai,Chennai -> Madurai,460,2,AC Sleeper,31,1030.0,2025-12-27,Saturday,2025-12-06,21,True,1.25,0.974,31,100.0
28,Bangalore,Hyderabad,Bangalore -> Hyderabad,570,2,AC Sleeper,32,1260.0,2026-06-16,Tuesday,2026-05-31,16,False,0.8,0.961,14,43.75
29,Bangalore,Coimbatore,Bangalore -> Coimbatore,365,2,Non-AC Seater,51,430.0,2026-06-17,Wednesday,2026-05-19,29,False,0.82,1.122,27,52.94
30,Delhi,Agra,Delhi -> Agra,230,2,Non-AC Sleeper,31,370.0,2025-10-27,Monday,2025-09-19,38,False,0.85,1.109,17,54.84
31,Bangalore,Chennai,Bangalore -> Chennai,350,1,AC Sleeper,33,760.0,2025-12-28,Sunday,2025-12-12,16,False,1.1,0.944,27,81.82
32,Mumbai,Goa,Mumbai -> Goa,590,2,Non-AC Sleeper,36,850.0,2026-03-23,Monday,2026-03-03,20,False,0.85,0.994,19,52.78
33,Delhi,Dehradun,Delhi -> Dehradun,250,2,AC Seater,44,390.0,2026-02-09,Monday,2026-01-12,28,False,0.85,0.918,31,70.45
34,Ahmedabad,Surat,Ahmedabad -> Surat,265,1,Non-AC Seater,54,300.0,2026-03-09,Monday,2026-02-10,27,False,0.85,1.078,41,75.93
