trip_id,booking_date,days_left,seats_booked,capacity,occupancy_pct
1,2025-12-09,16,1,32,3.12
1,2025-12-10,15,2,32,6.25
1,2025-12-11,14,2,32,6.25
1,2025-12-12,13,3,32,9.38
1,2025-12-13,12,3,32,9.38
1,2025-12-14,11,4,32,12.5
1,2025-12-15,10,5,32,15.62
1,2025-12-16,9,6,32,18.75
1,2025-12-17,8,8,32,25.0
1,2025-12-18,7,10,32,31.25
1,2025-12-19,6,10,32,31.25
1,2025-12-20,5,13,32,40.62
1,2025-12-21,4,14,32,43.75
1,2025-12-22,3,16,32,50.0
1,2025-12-23,2,16,32,50.0
1,2025-12-24,1,18,32,56.25
1,2025-12-25,0,18,32,56.25
2,2026-02-24,38,0,40,0.0
2,2026-02-25,37,0,40,0.0
2,2026-02-26,36,0,40,0.0
2,2026-02-27,35,0,40,0.0
2,2026-02-28,34,0,40,0.0
2,2026-03-01,33,0,40,0.0
2,2026-03-02,32,0,40,0.0
2,2026-03-03,31,0,40,0.0
2,2026-03-04,30,0,40,0.0
2,2026-03-05,29,0,40,0.0
2,2026-03-06,28,0,40,0.0
2,2026-03-07,27,1,40,2.5
2,2026-03-08,26,1,40,2.5
2,2026-03-09,25,1,40,2.5
2,2026-03-10,24,1,40,2.5
2,2026-03-11,23,2,40,5.0
2,2026-03-12,22,2,40,5.0
2,2026-03-13,21,3,40,7.5
2,2026-03-14,20,4,40,10.0
2,2026-03-15,19,5,40,12.5
2,2026-03-16,18,6,40,15.0
2,2026-03-17,17,8,40,20.0
2,2026-03-18,16,10,40,25.0
2,2026-03-19,15,11,40,27.5
2,2026-03-20,14,13,40,32.5
2,2026-03-21,13,16,40,40.0
2,2026-03-22,12,19,40,47.5
2,2026-03-23,11,20,40,50.0
2,2026-03-24,10,22,40,55.0
2,2026-03-25,9,22,40,55.0
2,2026-03-26,8,27,40,67.5
2,2026-03-27,7,27,40,67.5
2,2026-03-28,6,28,40,70.0
2,2026-03-29,5,28,40,70.0
2,2026-03-30,4,27,40,67.5
2,2026-03-31,3,29,40,72.5
2,2026-04-01,2,28,40,70.0
2,2026-04-02,1,28,40,70.0
2,2026-04-03,0,31,40,77.5
3,2025-08-13,30,1,31,3.23
3,2025-08-14,29,1,31,3.23
3,2025-08-15,28,2,31,6.45
3,2025-08-16,27,2,31,6.45
3,2025-08-17,26,2,31,6.45
3,2025-08-18,25,3,31,9.68
3,2025-08-19,24,4,31,12.9
3,2025-08-20,23,4,31,12.9
3,2025-08-21,22,5,31,16.13
3,2025-08-22,21,6,31,19.35
3,2025-08-23,20,7,31,22.58
3,2025-08-24,19,7,31,22.58
3,2025-08-25,18,9,31,29.03
3,2025-08-26,17,10,31,32.26
3,2025-08-27,16,12,31,38.71
3,2025-08-28,15,13,31,41.94
3,2025-08-29,14,14,31,45.16
3,2025-08-30,13,16,31,51.61
3,2025-08-31,12,17,31,54.84
3,2025-09-01,11,20,31,64.52
3,2025-09-02,10,20,31,64.52
3,2025-09-03,9,21,31,67.74
3,2025-09-04,8,22,31,70.97
3,2025-09-05,7,23,31,74.19
3,2025-09-06,6,24,31,77.42
3,2025-09-07,5,24,31,77.42
3,2025-09-08,4,23,31,74.19
3,2025-09-09,3,25,31,80.65
3,2025-09-10,2,28,31,90.32
3,2025-09-11,1,28,31,90.32
3,2025-09-12,0,28,31,90.32
4,2025-11-03,40,0,56,0.0
4,2025-11-04,39,0,56,0.0
4,2025-11-05,38,1,56,1.79
4,2025-11-06,37,1,56,1.79
4,2025-11-07,36,1,56,1.79
4,2025-11-08,35,1,56,1.79
4,2025-11-09,34,1,56,1.79
4,2025-11-10,33,2,56,3.57
4,2025-11-11,32,2,56,3.57
4,2025-11-12,31,3,56,5.36
4,2025-11-13,30,4,56,7.14
4,2025-11-14,29,5,56,8.93
4,2025-11-15,28,6,56,10.71
4,2025-11-16,27,8,56,14.29
4,2025-11-17,26,9,56,16.07
4,2025-11-18,25,9,56,16.07
4,2025-11-19,24,10,56,17.86
4,2025-11-20,23,13,56,23.21
4,2025-11-21,22,15,56,26.79
4,2025-11-22,21,17,56,30.36
4,2025-11-23,20,19,56,33.93
4,2025-11-24,19,20,56,35.71
4,2025-11-25,18,21,56,37.5
4,2025-11-26,17,23,56,41.07
4,2025-11-27,16,24,56,42.86
4,2025-11-28,15,27,56,48.21
4,2025-11-29,14,27,56,48.21
4,2025-11-30,13,27,56,48.21
4,2025-12-01,12,29,56,51.79
4,2025-12-02,11,29,56,51.79
4,2025-12-03,10,31,56,55.36
4,2025-12-04,9,31,56,55.36
4,2025-12-05,8,31,56,55.36
4,2025-12-06,7,31,56,55.36
4,2025-12-07,6,31,56,55.36
4,2025-12-08,5,30,56,53.57
4,2025-12-09,4,33,56,58.93
4,2025-12-10,3,33,56,58.93
4,2025-12-11,2,34,56,60.71
4,2025-12-12,1,34,56,60.71
4,2025-12-13,0,33,56,58.93
5,2025-09-03,42,0,33,0.0
5,2025-09-04,41,0,33,0.0
5,2025-09-05,40,0,33,0.0
5,2025-09-06,39,0,33,0.0
5,2025-09-07,38,0,33,0.0
5,2025-09-08,37,0,33,0.0
5,2025-09-09,36,0,33,0.0
5,2025-09-10,35,0,33,0.0
