,importance
popularity_tier,0.22424756
current_occupancy_pct,0.14207625
wd_Saturday,0.07405607
is_holiday_period,0.064511046
wd_Friday,0.06311742
wd_Tuesday,0.051327925
wd_Wednesday,0.04866775
occupancy_lag1,0.04646804
days_left,0.04317151
wd_Sunday,0.042248257
seats_remaining,0.042057984
wd_Monday,0.036843877
booking_velocity_7d,0.029241996
days_left_ratio,0.022624439
booking_velocity_3d,0.019963412
route_avg_occupancy_loo,0.005981641
occupancy_lag7,0.0056765806
seats_lag7,0.0045496835
price_ratio,0.004486371
booking_window_days,0.0035950528
distance_km,0.003123275
occupancy_lag3,0.0026676229
bus_AC Sleeper,0.0024711697
seats_lag3,0.0023918692
current_seats_booked,0.0021151013
base_price_inr,0.0019122199
capacity,0.0017660343
bus_AC Seater,0.0015693982
bus_Volvo AC Semi-Sleeper,0.0015537182
bus_Non-AC Seater,0.0015503775
bus_Non-AC Sleeper,0.0015308411
wd_Thursday,0.0013895866
days_since_open,0.0010459616
